,Alloy ID,References,Alloy,Microstructure,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,HOMO FCC SUM,HOMO BCC SUM
0,Alloy 0007,10.1007/s11837-014-1066-0,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,0.048726025,6.411827982,0.007792382,3.5828,1.104292378,-0.013463108,88.31048912,441.5524456,-5.670526231,0.06906315,0,1
1,Alloy 0012,10.1016/j.jallcom.2015.08.224,AlNbTiV,BCC,0.025253814,1.384402722,-0.011682162,1.75,1.039850347,-0.011525651,54.67410465,218.6964186,-18.07222127,0.042944785,0,0.515838294
2,Alloy 0013,10.1016/j.jallcom.2015.08.224,AlCr0.5NbTiV,BCC,0.032984845,1.686910705,-0.014836851,2.37037037,1.058812239,-0.013145213,54.37654858,244.6944686,-12.08199765,0.059121384,0,0.581360936
3,Alloy 0014,10.1016/j.jallcom.2015.08.224,AlCr1NbTiV,BCC + Im,0.036949417,1.835728101,-0.018958523,2.72,1.0589507,-0.013380867,54.13850372,270.6925186,-9.800970285,0.066398223,0,0.574598886
4,Alloy 0015,10.1016/j.jallcom.2015.08.224,AlCr1.5NbTiV,BCC + Im,0.039179336,1.941125856,-0.015135719,2.909090909,1.059064599,-0.013253902,53.94373975,296.6905686,-8.634349087,0.070040131,0,0.569491656
5,Alloy 0023,10.1007/s11837-014-1066-0,AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,0.033304386,1.767229662,0.0102024,1.9,1.072050869,-0.01251081,74.84550972,374.2275486,-11.27931095,0.055665884,0,0.692281244
6,Alloy 0062,10.1016/j.matdes.2015.05.019,HfMoNbTiZr,BCC,0.055881279,20.44094665,-0.005732998,4.32,1.080433256,-0.013380867,101.289476,506.42738,-4.285007405,0.107720919,0,0.790859358
7,Alloy 0154,10.1016/j.jallcom.2014.12.157,CoCrFeMnNi,FCC,0.022496395,5.793658002,-0.004285451,1.52,1.03351308,-0.013380867,56.081148,280.40574,-26.43981334,0.05740398,0.734356955,0
8,Alloy 0155,10.1016/j.jallcom.2014.12.157,CoCrFeMnNiV0.25,FCC,0.024356556,4.923768869,-0.006351062,1.66893424,1.043037561,-0.014335349,55.83640286,293.141115,-24.16442754,0.062546905,0.765407972,0
9,Alloy 0156,10.1016/j.jallcom.2014.12.157,CoCrFeMnNiV0.5,FCC,0.025728166,4.341625773,-0.008227513,1.785123967,1.043004118,-0.014697169,55.61390727,305.87649,-22.20322299,0.06649262,0.793348296,0
