,Fe,Ni,Cr,Composition,VEC mean,VEC_condition,EQ 1000C AL3TI_D022,EQ 1000C ALTI3_D019,EQ 1000C ALTI_L10,EQ 1000C BCC_B2,EQ 1000C BCC_B2#2,EQ 1000C BCT_A5,EQ 1000C C14_LAVES,EQ 1000C C15_LAVES,EQ 1000C C36_LAVES,EQ 1000C CBCC_A12,EQ 1000C CHI_A12,EQ 1000C CR3SI_A15,EQ 1000C CRNI2_OP6,EQ 1000C CRSI2_C40,EQ 1000C CU3SN_HT_GAMMA,EQ 1000C CU6SN5_HT,EQ 1000C CUB_A13,EQ 1000C CUTI_B11,EQ 1000C FCC_L12,EQ 1000C GAMMA_D83,EQ 1000C HCP_A3,EQ 1000C HEUSLER_L21,EQ 1000C LIQUID,EQ 1000C M5SI3_D88,EQ 1000C MNNI2,EQ 1000C MNNI_L10,EQ 1000C MOSI2_C11B,EQ 1000C MU_PHASE,EQ 1000C NI3TA_D0A,EQ 1000C NI3TI_D024,EQ 1000C NITI2,EQ 1000C NIZN_TP2,EQ 1000C SIGMA,EQ FCC SUM,EQ BCC SUM,EQ FCC/BCC SUM,EQ 1000C AL5FE4_D82,EQ 1000C ALCU_EPS_B82
0,0,0.02,0.98,Cr98Ni2,6.08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83E+27,1.83E+27,5.00E+27,,
1,0,0.04,0.96,Cr96Ni4,6.16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10E+26,7.10E+26,1.94E+27,,
2,0,0.06,0.94,Cr94Ni6,6.24,1,0,0,0,0.991260648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008739352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+26,1.90E+26,5.20E+26,,
3,0,0.08,0.92,Cr92Ni8,6.32,1,0,0,0,0.950813656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049186344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E+25,5.10E+25,1.39E+26,,
4,0,0.1,0.9,Cr90Ni10,6.4,1,0,0,0,0.910366664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089633336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37E+25,1.37E+25,3.73E+25,,
5,0,0.12,0.88,Cr88Ni12,6.48,1,0,0,0,0.869919672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130080328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66E+24,3.66E+24,1.00E+25,,
6,0,0.14,0.86,Cr86Ni14,6.56,1,0,0,0,0.82947268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17052732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81E+23,9.81E+23,2.68E+24,,
7,0,0.16,0.84,Cr84Ni16,6.64,1,0,0,0,0.789025688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210974312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63E+23,2.63E+23,7.18E+23,,
8,0,0.18,0.82,Cr82Ni18,6.72,1,0,0,0,0.748578696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251421304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04E+22,7.04E+22,1.92E+23,,
9,0,0.2,0.8,Cr80Ni20,6.8,1,0,0,0,0.708131704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291868296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E+22,1.89E+22,5.16E+22,,
10,0,0.22,0.78,Cr78Ni22,6.88,0.5,0,0,0,0.667684712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332315288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E+21,5.06E+21,1.38E+22,,
11,0,0.24,0.76,Cr76Ni24,6.96,0.5,0,0,0,0.62723772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37276228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E+21,1.36E+21,3.70E+21,,
12,0,0.26,0.74,Cr74Ni26,7.04,0.5,0,0,0,0.586790728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413209272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63E+20,3.63E+20,9.92E+20,,
13,0,0.28,0.72,Cr72Ni28,7.12,0.5,0,0,0,0.546343736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453656264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73E+19,9.73E+19,2.66E+20,,
14,0,0.3,0.7,Cr70Ni30,7.2,0.5,0,0,0,0.505896744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494103256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61E+19,2.61E+19,7.12E+19,,
15,0,0.32,0.68,Cr68Ni32,7.28,0.5,0,0,0,0.465449752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534550248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98E+18,6.98E+18,1.91E+19,,
16,0,0.34,0.66,Cr66Ni34,7.36,0.5,0,0,0,0.42500276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57499724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E+18,1.87E+18,5.11E+18,,
