,Nb,Ta,W,YS 25C PRIOR,HV 25C PRIOR,HV 25C PRIOR*,YS T C PRIOR,HV T C PRIOR,YS T-273C PRIOR,HV T-273C PRIOR,YS 25-273C PRIOR,HV 25-273C PRIOR
0,0,0.05,0.95,336.622388,252.9741169,277.3792935,68.49575249,170.953121,94.80946633,179.0025899,503.2368214,303.9421295
1,0,0.1,0.9,535.0129895,313.6625847,325.9300678,139.7018732,192.7353543,183.7696505,206.2158613,750.9980267,379.7332599
2,0,0.15,0.85,672.0398932,355.5796553,359.4637243,194.8911134,209.6179607,250.9349912,226.762004,918.6790693,431.0275525
3,0,0.2,0.8,766.7083722,384.5391166,382.6312933,234.4269461,221.7121279,298.5963757,241.3418096,1034.178276,466.3592157
4,0,0.25,0.75,828.6544419,403.4886638,397.790931,259.9790587,229.52862,329.4056619,250.7664919,1110.486554,489.7022189
5,0,0.3,0.7,863.9731658,414.2928008,406.4342406,273.3329534,233.6136291,345.7356392,255.7618964,1155.37817,503.4347415
6,0,0.35,0.65,877.0004002,418.2778832,409.6223066,276.1895021,234.4874586,349.6749294,256.9669408,1174.153389,509.178155
7,0,0.4,0.6,871.0550457,416.4591758,408.1673407,270.1363871,232.6357868,343.0854428,254.9511908,1170.725532,508.1295602
8,0,0.45,0.55,848.8076268,409.6536026,402.7228821,256.6581515,228.5127413,327.6563429,250.2313683,1148.139496,501.2204025
9,0,0.5,0.5,812.4858663,398.5426327,393.8341062,237.154785,222.5465846,304.9477756,243.2847279,1108.849577,489.2014614
10,0,0.55,0.45,763.9992042,383.7103714,381.9682971,212.9612388,215.1456833,276.4263974,234.5599258,1054.879241,472.6917224
11,0,0.6,0.4,705.0187611,365.6680211,367.5344169,185.366211,206.7042554,243.4956569,224.4862823,987.9148897,452.2070632
12,0,0.65,0.35,637.0304057,344.8701149,350.896092,155.6303579,197.6079406,207.5236127,213.482292,909.3563809,428.1757054
13,0,0.7,0.3,561.369432,321.7251245,332.3800996,125.0048407,188.239474,169.8711497,201.964255,820.3310988,400.9425203
14,0,0.75,0.25,479.2395084,296.6012568,312.2810054,94.75186864,178.9849705,131.9244102,190.3561977,721.6642107,370.7599298
15,0,0.8,0.2,391.712123,269.8262842,290.8610273,66.17053131,170.2418266,95.13828996,179.1031783,613.7731021,337.755614
16,0,0.85,0.15,299.6894,241.6761701,268.3409361,40.63584405,162.430665,61.10703567,168.6928833,496.3866126,301.8466236
17,0,0.9,0.1,203.7713052,212.3344464,244.8675571,19.67456553,156.0185272,31.71020663,159.7002773,367.735811,262.4918357
18,0,0.95,0.05,103.7895087,181.7496203,220.3996962,5.167365484,151.5807175,9.534446681,152.9166249,221.4062692,217.7290515
19,0.35,0.4,0.25,428.3668982,281.0391246,299.8312997,73.46512527,172.4732717,105.3006205,182.2118754,668.6488513,354.5423222
20,0.35,0.45,0.2,346.35737,255.9520863,279.761669,49.6374989,165.1843068,73.80431086,172.5770299,565.7180423,323.0553816
21,0.35,0.5,0.15,261.4265014,229.9713984,258.9771187,29.16780572,158.9225469,45.64325839,163.9624529,454.8673014,289.1457025
22,0.35,0.55,0.1,174.5260203,203.3881983,237.7105587,13.23997807,154.0501615,22.41642035,156.8572714,334.7367215,252.397284
23,0.35,0.6,0.05,86.26563281,176.3889975,216.111198,3.095234959,150.9468446,6.106142527,151.8678931,199.8946868,211.1485735
24,0.4,0.05,0.55,781.8494448,389.1708305,386.3366644,215.8736994,216.0366165,280.7515568,235.8830091,1082.122053,481.0254063
25,0.4,0.1,0.5,743.4504073,377.4244134,376.9395307,196.6402106,210.1530164,257.9907036,228.9203743,1040.199551,468.2011474
26,0.4,0.15,0.45,694.2390182,362.3704552,364.8963642,173.7833951,203.1610263,230.581399,220.5357599,984.951429,451.3005289
27,0.4,0.2,0.4,635.8622052,344.5127578,350.6102062,148.5319702,195.4365158,199.8803289,211.1441814,918.0278097,430.8283297
28,0.4,0.25,0.35,569.8140997,324.3083817,334.4467053,122.0811202,187.3450964,167.2106612,201.1504011,840.8275853,407.2124764
29,0.4,0.3,0.3,497.472429,302.1787791,316.7430233,95.60186453,179.2449876,133.8822212,190.9550998,754.5142066,380.8088732
30,0.4,0.35,0.25,420.124446,278.5177259,297.8141807,70.24826977,171.4892229,101.21221,180.9612144,659.9941297,351.8948087
31,0.4,0.4,0.2,338.9822321,253.6960025,277.956802,47.16220193,164.4271037,70.54941216,171.5813436,557.8306293,320.6425908
32,0.4,0.45,0.15,255.1809072,228.0608465,257.4486772,27.47580595,158.4049575,43.30901718,163.2483993,448.0078,287.0473539
33,0.4,0.5,0.1,169.7365885,201.9230922,236.5384738,12.31455985,153.7670725,21.04048252,156.4363666,329.2409758,250.7161137
34,0.4,0.55,0.05,83.39478539,175.5107939,215.4086352,2.813369541,150.8606208,5.620379501,151.7192963,196.2738447,210.0409436
35,0.45,0.05,0.5,733.588428,374.407595,374.526076,191.1146029,208.4627112,251.5179016,226.9403186,1030.335356,465.1836512
36,0.45,0.1,0.45,684.2709657,359.3211887,362.4569509,168.4588133,201.5322158,224.2780192,218.6075311,974.9014687,448.2262064
37,0.45,0.15,0.4,625.9664705,341.4856135,348.1884908,143.5440769,193.9106996,193.8980721,209.3141854,907.9668504,427.7506425
38,0.45,0.2,0.35,560.1733812,321.3592478,332.0873983,117.5573077,185.9612443,161.6963863,199.4635626,830.9332489,404.1857598
39,0.45,0.25,0.3,488.2790072,299.3664751,314.4931801,91.65871813,178.0387636,128.9767049,189.454483,744.9725956,377.8900568
40,0.45,0.3,0.25,411.5867715,275.9060176,295.7248141,66.98691042,170.4915602,97.04699891,179.6870599,651.0070015,349.1456107
41,0.45,0.35,0.2,331.3341961,251.3564381,276.0851505,44.66028169,163.6617564,67.24046884,170.5691248,549.6258964,318.1327306
42,0.45,0.4,0.15,248.6967662,226.0773222,255.8618577,25.77382842,157.8843158,40.9444384,162.5250653,440.857393,284.8600162
43,0.45,0.45,0.1,164.759745,200.4006562,235.3205249,11.39147757,153.4846979,19.65564199,156.0127384,323.4978222,248.9592604
44,0.45,0.5,0.05,80.4124989,174.5985007,214.6788006,2.537287044,150.7761661,5.138522954,151.5718944,192.4781584,208.8798282
45,0.5,0.05,0.45,673.9683113,356.169566,359.9356528,163.0299106,199.871493,217.8310443,216.635376,964.4972139,445.0435038
46,0.5,0.1,0.4,615.7326856,338.3550583,345.6840466,138.4632362,192.3564504,187.7831405,207.4436037,897.5439484,424.5622357
47,0.5,0.15,0.35,550.1953805,318.3069381,329.6455504,112.9545693,184.5532485,156.063898,197.7405622,820.6726506,401.0470023
48,0.5,0.2,0.3,478.7545763,296.4529141,312.1623313,87.65306572,176.8134187,123.9710579,187.9232358,735.064899,374.8592533
49,0.5,0.25,0.25,402.731623,273.1971927,293.5577542,63.6812522,169.4803463,92.80314869,178.3888494,641.6601146,346.2863611
50,0.5,0.3,0.2,323.3919337,248.9268687,274.1414949,42.1328627,162.888609,63.87702412,169.5402337,541.0763235,315.5173825
51,0.5,0.35,0.15,241.9548876,224.0149549,254.2119639,24.0636432,157.3611634,38.55036734,161.7927095,433.3894611,282.5755464
52,0.5,0.4,0.1,159.580248,198.8162276,234.0529821,10.4725467,153.2035934,18.2635583,155.5868946,317.4833702,247.1194158
53,0.5,0.45,0.05,77.31019813,173.6494947,213.9195957,2.267938679,150.6937714,4.66189725,151.4260928,188.4899092,207.659807
54,0.55,0.05,0.4,605.1374451,335.1139324,343.0911459,133.2869991,190.773019,181.5303691,205.5308562,886.7324307,421.2549497
55,0.55,0.1,0.35,539.8556813,315.1439833,327.1151866,108.2712942,183.1206161,150.3088926,195.9800834,810.0173689,397.7875096
56,0.55,0.15,0.3,468.874112,293.4304411,309.7443529,83.58429202,175.5687648,118.862121,186.3603919,724.7611784,371.7073045
57,0.55,0.2,0.25,393.5339818,270.383598,291.3068784,60.33175502,168.4557219,88.47889413,177.0660429,631.9224257,343.3075637
58,0.55,0.25,0.2,315.1313577,246.3999259,272.1199407,39.58140857,162.1081091,60.45884624,168.4945996,532.1504673,312.7869279
59,0.55,0.3,0.15,234.933512,221.8670884,252.4936707,22.34738865,156.8361544,36.12799585,161.0516965,425.5733622,280.1845709
60,0.55,0.35,0.1,154.1807756,197.1645077,232.7316062,9.559878031,152.9244044,16.86625864,155.1594551,311.1698867,245.1880963
61,0.55,0.4,0.05,74.07818575,172.6608093,213.1286475,2.006379309,150.6137593,4.192024503,151.2823568,184.2883318,206.3745279
62,0.6,0.05,0.35,529.126963,311.862026,324.4896208,103.5059626,181.6628824,144.4268866,194.1807545,798.9353748,394.3974839
63,0.6,0.1,0.3,458.609483,290.2904506,307.2323605,79.45198976,174.3046772,113.6466951,184.7649725,714.0274953,368.4238285
64,0.6,0.15,0.25,383.9655866,267.4565881,288.9652705,56.93920637,167.4179279,84.07259934,175.7181399,621.7585117,340.1983823
65,0.6,0.2,0.2,306.525128,243.7672463,270.013797,37.00780594,161.3208339,56.98600963,167.4322452,522.8121836,309.9303101
66,0.6,0.25,0.15,227.6078339,219.6261346,250.7009076,20.62765331,156.3100805,33.6789595,160.3025266,417.3735816,277.6762256
67,0.6,0.3,0.1,148.5415333,195.4394412,231.351553,8.655934493,152.6478845,15.46622506,154.7311793,304.5249275,243.155377
68,0.6,0.35,0.05,70.70544695,171.6290752,212.3032602,1.753779547,150.5364881,3.730659959,151.1412236,179.8488744,205.0164804
69,0.65,0.05,0.3,447.9289176,287.0232235,304.6185788,75.25603236,173.0211173,108.3215857,183.1360005,702.8251716,364.9969935
70,0.65,0.1,0.25,373.994351,264.4063478,286.5250782,53.50481452,166.3673339,79.58283355,174.3447028,611.1277099,336.9463781
71,0.65,0.15,0.2,297.5420406,241.0192844,267.8154275,34.41447125,160.5275226,53.45900233,166.3533198,513.0196448,306.9347338
72,0.65,0.2,0.15,219.9494084,217.283392,248.8267136,18.90757851,155.7839029,31.20546397,159.5458746,408.7486424,275.0378227
73,0.65,0.25,0.1,142.6397645,193.6340668,229.9072535,7.763600304,152.374916,14.06650552,154.3029995,297.5102051,241.0095458
74,0.65,0.3,0.05,67.1794123,170.5504473,211.4403579,1.511438355,150.462355,3.279834201,151.0033142,175.1422144,203.5766945
